VERSION;7.2.1.201802190531
DATE;11/05/2018 18:10
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0002;NQDS BHP WELL PROD10;-0.3594432300489891
1;base0002;NQDS QWI WELL INJ1;0.0
1;base0002;NQDS BHP WELL INJ1;-0.3100699136092295
1;base0002;NQDS QWI WELL INJ2;0.0
1;base0002;NQDS BHP WELL INJ2;-0.3954100633980308
1;base0002;NQDS QWI WELL INJ3;0.0
1;base0002;NQDS BHP WELL INJ3;-0.3396427576215884
1;base0002;NQDS QWI WELL INJ4;0.0
1;base0002;NQDS BHP WELL INJ4;-0.7183264471192429
1;base0002;NQDS QWI WELL INJ5;0.0
1;base0002;NQDS BHP WELL INJ5;-0.3807244056616166
1;base0002;NQDS QWI WELL INJ6;0.0
1;base0002;NQDS BHP WELL INJ6;-0.4432686593017756
1;base0002;NQDS QWI WELL INJ7;0.0
1;base0002;NQDS BHP WELL INJ7;-2.00141842410103
1;base0002;NQDS QWI WELL INJ8;0.0
1;base0002;NQDS BHP WELL INJ8;-0.3589598833969918
1;base0002;NQDS QWI WELL INJ9;0.0
1;base0002;NQDS BHP WELL INJ9;-0.4966754620604882
1;base0003;NQDS QL WELL WILDCAT;1.949857254693065E-10
1;base0003;NQDS QW WELL WILDCAT;-7.149946039801607
1;base0003;NQDS QO WELL WILDCAT;0.1972404023984389
1;base0003;NQDS BHP WELL WILDCAT;-0.555719242338578
1;base0003;NQDS QL WELL PROD1;5.443066896088358E-10
1;base0003;NQDS QW WELL PROD1;-28.90844062565853
1;base0003;NQDS QO WELL PROD1;2.680878694841058
1;base0003;NQDS BHP WELL PROD1;-0.3842281331000187
1;base0003;NQDS QL WELL PROD2;-4.288349840623342E-10
1;base0003;NQDS QW WELL PROD2;-44.25891152578658
1;base0003;NQDS QO WELL PROD2;9.973341002979092
1;base0003;NQDS BHP WELL PROD2;-0.09214277832632023
1;base0003;NQDS QL WELL PROD3;3.254430399991106E-10
1;base0003;NQDS QW WELL PROD3;11.07330577044783
1;base0003;NQDS QO WELL PROD3;-0.09828684937945593
1;base0003;NQDS BHP WELL PROD3;-2.754055383618435
1;base0003;NQDS QL WELL PROD4;2.842190280411151E-10
1;base0003;NQDS QW WELL PROD4;-6.868983123328022
1;base0003;NQDS QO WELL PROD4;0.521368545983042
1;base0003;NQDS BHP WELL PROD4;-0.4314755825104725
1;base0003;NQDS QL WELL PROD5;8.773730777296016E-15
1;base0003;NQDS QW WELL PROD5;2.893455347656553E-13
1;base0003;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0003;NQDS BHP WELL PROD5;-0.7648072411405273
1;base0003;NQDS QL WELL PROD6;1.059318834135347E-13
1;base0003;NQDS QW WELL PROD6;-76.7336067043009
1;base0003;NQDS QO WELL PROD6;3.013829109008083
1;base0003;NQDS BHP WELL PROD6;-0.3826550293492925
1;base0003;NQDS QL WELL PROD7;3.286799644145565E-10
1;base0003;NQDS QW WELL PROD7;-12.636040480839
1;base0003;NQDS QO WELL PROD7;1.425004809459587
1;base0003;NQDS BHP WELL PROD7;-0.7080243740462042
1;base0003;NQDS QL WELL PROD8;3.672257048690695E-10
1;base0003;NQDS QW WELL PROD8;-13.03965243395672
1;base0003;NQDS QO WELL PROD8;0.2248943514285254
1;base0003;NQDS BHP WELL PROD8;-4.746843586490859
1;base0003;NQDS QL WELL PROD9;2.200510973104459E-10
1;base0003;NQDS QW WELL PROD9;-38.90235449603428
